time_sec,frames
15.866666666666667,3808
19.295833333333334,4631
21.004166666666666,5041
22.658333333333335,5438
24.441666666666666,5866
26.1125,6267
27.85,6684
29.491666666666667,7078
31.216666666666665,7492
32.9125,7899
34.729166666666664,8335
36.44583333333333,8747
38.0375,9129
39.895833333333336,9575
41.44583333333333,9947
43.1375,10353
44.97083333333333,10793
46.5875,11181
48.391666666666666,11614
50.025,12006
51.666666666666664,12400
53.4125,12819
55.1,13224
56.82083333333333,13637
58.53333333333333,14048
60.25,14460
61.8875,14853
63.5375,15249
65.47083333333333,15713
66.95833333333333,16070
68.55416666666666,16453
70.27916666666667,16867
71.87083333333334,17249
73.4875,17637
75.175,18042
77.325,18558
81.95833333333333,19670
85.95,20628
86.93333333333334,20864
90.32916666666667,21679
91.7125,22011
97.57916666666667,23419
101.12083333333334,24269
102.11666666666666,24508
102.57083333333334,24617
103.45,24828
104.10416666666667,24985
105.15833333333333,25238
106.34583333333333,25523
107.1625,25719
107.62083333333334,25829
107.85833333333333,25886
108.6,26064
108.76666666666667,26104
109.29583333333333,26231
110.10833333333333,26426
110.30833333333334,26474
111.08333333333333,26660
111.54583333333333,26771
111.79583333333333,26831
112.51666666666667,27004
112.7,27048
113.975,27354
114.1625,27399
114.92916666666666,27583
115.39583333333333,27695
115.63333333333334,27752
116.37916666666666,27931
117.7875,28269
122.00416666666666,29281
123.04166666666667,29530
124.37083333333334,29849
125.31666666666666,30076
125.675,30162
126.70416666666667,30409
128.1125,30747
129.45416666666668,31069
130.47083333333333,31313
131.90833333333333,31658
132.8625,31887
133.2,31968
134.24166666666667,32218
135.50833333333333,32522
136.84166666666667,32842
137.77083333333334,33065
139.09583333333333,33383
140.00416666666666,33601
140.38333333333333,33692
141.325,33918
142.64166666666668,34234
143.5875,34461
143.94583333333333,34547
144.90416666666667,34777
146.20416666666668,35089
147.54583333333332,35411
148.4625,35631
149.82916666666668,35959
150.80833333333334,36194
151.07916666666668,36259
152.025,36486
153.39583333333334,36815
154.6625,37119
155.6125,37347
156.92916666666667,37663
158.20833333333334,37970
159.12083333333334,38189
160.44583333333333,38507
161.75833333333333,38822
162.65416666666667,39037
164.025,39366
165.3125,39675
166.26666666666668,39904
167.55416666666667,40213
168.875,40530
169.82083333333333,40757
171.17916666666667,41083
172.44166666666666,41386
173.39583333333334,41615
174.74166666666667,41938
175.99166666666667,42238
176.9625,42471
178.68333333333334,42884
179.59166666666667,43102
180.86666666666667,43408
182.12083333333334,43709
183.0,43920
184.2,44208
185.29583333333332,44471
186.12083333333334,44669
187.25,44940
188.31666666666666,45196
189.19166666666666,45406
190.275,45666
191.3875,45933
192.17916666666667,46123
193.30416666666667,46393
194.44583333333333,46667
195.25,46860
196.4,47136
197.275,47346
197.55,47412
198.34166666666667,47602
200.17916666666667,48043
201.39166666666668,48334
202.53333333333333,48608
203.325,48798
203.61666666666667,48868
204.4375,49065
206.3875,49533
206.70833333333334,49610
207.5,49800
208.66666666666666,50080
209.475,50274
209.94166666666666,50386
210.2125,50451
210.78333333333333,50588
211.2,50688
211.425,50742
211.97916666666666,50875
212.1875,50925
212.6125,51027
213.20833333333334,51170
213.3875,51213
213.975,51354
214.35833333333332,51446
214.60833333333332,51506
215.1375,51633
215.34583333333333,51683
215.72083333333333,51773
216.31666666666666,51916
216.51666666666668,51964
217.10833333333332,52106
217.37916666666666,52171
218.0875,52341
219.2875,52629
220.07916666666668,52819
220.60833333333332,52946
221.30416666666667,53113
222.08333333333334,53300
222.40416666666667,53377
223.22083333333333,53573
223.72083333333333,53693
224.44583333333333,53867
225.22083333333333,54053
225.57083333333333,54137
226.3375,54321
226.87916666666666,54451
227.51666666666668,54604
228.35833333333332,54806
228.69583333333333,54887
229.25416666666666,55021
229.90416666666667,55177
230.20833333333334,55250
230.7625,55383
231.37916666666666,55531
231.7375,55617
232.34583333333333,55763
232.9875,55917
233.32083333333333,55997
233.90833333333333,56138
234.58333333333334,56300
234.9625,56391
236.24583333333334,56699
236.5625,56775
237.38333333333333,56972
238.5,57240
239.67916666666667,57523
240.50833333333333,57722
241.65833333333333,57998
242.83333333333334,58280
243.68333333333334,58484
244.85833333333332,58766
246.01666666666668,59044
246.9125,59259
248.0,59520
248.825,59718
249.17083333333332,59801
250.02083333333334,60005
251.14166666666668,60274
252.025,60486
252.2875,60549
253.12083333333334,60749
254.30833333333334,61034
255.57916666666668,61339
256.325,61518
257.4625,61791
259.48333333333335,62276
260.60833333333335,62546
261.76666666666665,62824
262.59583333333336,63023
263.775,63306
264.975,63594
265.84583333333336,63803
266.99583333333334,64079
268.95,64548
270.0416666666667,64810
271.23333333333335,65096
272.0541666666667,65293
273.1875,65565
274.3333333333333,65840
275.17083333333335,66041
276.34583333333336,66323
277.1458333333333,66515
277.4875,66597
278.3,66792
279.4,67056
280.5833333333333,67340
281.40416666666664,67537
282.51666666666665,67804
284.5416666666667,68290
285.6458333333333,68555
286.76666666666665,68824
287.62083333333334,69029
288.75416666666666,69301
289.575,69498
289.92083333333335,69581
