Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:40,200","00:01:54,540",au,100.2,114.54,14.34,"[100.818 102.328 103.808 105.241 106.64  108.05  109.436 110.8   112.117
 113.422]",[1.51  1.48  1.433 1.399 1.41  1.386 1.364 1.317 1.305],9,32
Section_2,"00:01:41,240","00:01:53,740",au,101.24,113.74,12.5,[102.328 103.808 105.241 106.64  108.05  109.436 110.8   112.117 113.422],[1.48  1.433 1.399 1.41  1.386 1.364 1.317 1.305],8,61
Section_3,"00:01:51,640","00:02:01,460",au,111.64,121.46,9.82,[112.117 113.422 114.698 116.    117.299 118.584 119.876 121.163],[1.305 1.276 1.302 1.299 1.285 1.292 1.287],7,88
Section_4,"00:02:16,460","00:02:37,980",au,136.46,157.98,21.52,"[137.136 138.409 139.669 140.917 142.156 143.402 144.63  145.875 147.13
 148.353 149.591 150.835 152.051 153.262 154.476 155.703 156.896]","[1.273 1.26  1.248 1.239 1.246 1.228 1.245 1.255 1.223 1.238 1.244 1.216
 1.211 1.214 1.227 1.193]",16,150
Section_5,"00:02:36,340","00:02:47,200",au,156.34,167.2,10.86,[156.896 158.111 159.321 160.516 161.715 162.907 164.101 165.304 166.498],[1.215 1.21  1.195 1.199 1.192 1.194 1.203 1.194],8,179
Section_6,"00:02:47,200","00:03:05,480",au,167.2,185.48,18.28,"[167.701 168.891 170.062 171.236 172.395 173.558 174.727 175.918 177.114
 178.292 179.483 180.662 181.841 183.008 184.197 185.407]","[1.19  1.171 1.174 1.159 1.163 1.169 1.191 1.196 1.178 1.191 1.179 1.179
 1.167 1.189 1.21 ]",15,241
Section_7,"00:02:47,220","00:03:05,440",au,167.22,185.44,18.22,"[167.701 168.891 170.062 171.236 172.395 173.558 174.727 175.918 177.114
 178.292 179.483 180.662 181.841 183.008 184.197 185.407]","[1.19  1.171 1.174 1.159 1.163 1.169 1.191 1.196 1.178 1.191 1.179 1.179
 1.167 1.189 1.21 ]",15,303
Section_8,"00:03:17,820","00:03:37,860",au,197.82,217.86,20.04,"[198.375 199.552 200.726 201.866 203.024 204.179 205.329 206.478 207.628
 208.785 209.94  211.089 212.209 213.303 214.402 215.482 216.587 217.784]","[1.177 1.174 1.14  1.158 1.155 1.15  1.149 1.15  1.157 1.155 1.149 1.12
 1.094 1.099 1.08  1.105 1.197]",17,364
Section_9,"00:03:17,860","00:03:37,260",au,197.86,217.26,19.4,"[198.375 199.552 200.726 201.866 203.024 204.179 205.329 206.478 207.628
 208.785 209.94  211.089 212.209 213.303 214.402 215.482 216.587]","[1.177 1.174 1.14  1.158 1.155 1.15  1.149 1.15  1.157 1.155 1.149 1.12
 1.094 1.099 1.08  1.105]",16,421
Section_10,"00:03:51,700","00:04:15,160",au,231.7,255.16,23.46,"[232.34  233.45  234.542 235.633 236.699 237.758 238.827 239.838 240.862
 241.875 242.873 243.858 244.81  245.806 246.79  247.792 248.772 249.731
 250.69  251.695 252.66  253.663 254.654]","[1.11  1.092 1.091 1.066 1.059 1.069 1.011 1.024 1.013 0.998 0.985 0.952
 0.996 0.984 1.002 0.98  0.959 0.959 1.005 0.965 1.003 0.991]",22,471
Section_11,"00:03:52,000","00:04:14,660",au,232.0,254.66,22.66,"[232.34  233.45  234.542 235.633 236.699 237.758 238.827 239.838 240.862
 241.875 242.873 243.858 244.81  245.806 246.79  247.792 248.772 249.731
 250.69  251.695 252.66  253.663 254.654]","[1.11  1.092 1.091 1.066 1.059 1.069 1.011 1.024 1.013 0.998 0.985 0.952
 0.996 0.984 1.002 0.98  0.959 0.959 1.005 0.965 1.003 0.991]",22,521
Section_12,"00:04:18,560","00:04:34,380",au,258.56,274.38,15.82,"[258.673 259.678 260.693 261.688 262.659 263.661 264.65  265.639 266.628
 267.63  268.608 269.601 270.58  271.546 272.515 273.494]","[1.005 1.015 0.995 0.971 1.002 0.989 0.989 0.989 1.002 0.978 0.993 0.979
 0.966 0.969 0.979]",15,549
Section_13,"00:04:35,400","00:04:57,300",au,275.4,297.3,21.9,"[275.475 276.472 277.441 278.413 279.377 280.309 281.254 282.176 283.115
 284.035 284.976 285.9   286.854 287.834 288.818 289.842 290.802 291.754
 292.697 293.635 294.57  295.522 296.532]","[0.997 0.969 0.972 0.964 0.932 0.945 0.922 0.939 0.92  0.941 0.924 0.954
 0.98  0.984 1.024 0.96  0.952 0.943 0.938 0.935 0.952 1.01 ]",22,593
