Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:13,900","00:01:04,740","00:00:50,840",gr,,gr,13.9,64.74,50.84,1,13.066
"00:01:08,980","00:01:41,160","00:00:32,180",ht,mocap,in,68.98,101.16,32.18,1,13.066
"00:01:40,200","00:01:54,540","00:00:14,340",fk,,au,100.2,114.54,14.34,1,13.066
"00:01:41,240","00:01:53,740","00:00:12,500",ak,,au,101.24,113.74,12.5,1,13.066
"00:01:51,640","00:02:01,460","00:00:09,820",mb,,au,111.64,121.46,9.82,1,13.066
"00:01:59,800","00:02:12,620","00:00:12,820",ht,mocap,in,119.8,132.62,12.82,1,13.066
"00:02:16,460","00:02:37,980","00:00:21,520",ak,,au,136.46,157.98,21.52,1,13.066
"00:02:36,340","00:02:47,200","00:00:10,860",fk,,au,156.34,167.2,10.86,1,13.066
"00:02:47,200","00:03:05,480","00:00:18,280",ak,,au,167.2,185.48,18.28,1,13.066
"00:02:47,220","00:03:05,440","00:00:18,220",mb,,au,167.22,185.44,18.22,1,13.066
"00:03:03,780","00:03:17,920","00:00:14,140",ht,mocap,in,183.78,197.92,14.14,1,13.066
"00:03:17,820","00:03:37,860","00:00:20,040",mb,,au,197.82,217.86,20.04,1,13.066
"00:03:17,860","00:03:37,260","00:00:19,400",ak,,au,197.86,217.26,19.4,1,13.066
"00:03:37,020","00:03:55,120","00:00:18,100",ht,mocap,in,217.02,235.12,18.1,1,13.066
"00:03:51,700","00:04:15,160","00:00:23,460",mb,,au,231.7,255.16,23.46,1,13.066
"00:03:52,000","00:04:14,660","00:00:22,660",ak,,au,232,254.66,22.66,1,13.066
"00:04:18,560","00:04:34,380","00:00:15,820",fk,,au,258.56,274.38,15.82,1,13.066
"00:04:35,400","00:04:57,300","00:00:21,900",om,,au,275.4,297.3,21.9,1,13.066
"00:05:02,480","00:05:23,180","00:00:20,700",ht,mocap,in,302.48,323.18,20.7,1,13.066
"00:05:32,020","00:05:51,440","00:00:19,420",grf,gr orientation,in,332.02,351.44,19.42,1,13.066
