Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:01:02,120","00:01:15,020","00:00:12,900",gr,,gr,62.12,75.02,12.9,1,16.216
"00:01:18,800","00:02:03,420","00:00:44,620",fm,,au,78.8,123.42,44.62,1,16.216
"00:02:03,440","00:02:25,440","00:00:22,000",yk,mocap,in,123.44,145.44,22.0,1,16.216
"00:02:23,980","00:02:42,800","00:00:18,820",dt,,au,143.98,162.8,18.82,1,16.216
"00:02:42,020","00:03:14,300","00:00:32,280",om,,au,162.02,194.3,32.28,1,16.216
"00:03:14,960","00:03:42,360","00:00:27,400",fm,,au,194.96,222.36,27.4,1,16.216
"00:03:38,460","00:04:02,080","00:00:23,620",yk,mocap,in,218.46,242.08,23.62,1,16.216
"00:04:03,220","00:04:17,540","00:00:14,320",dt,,au,243.22,257.54,14.32,1,16.216
"00:04:17,540","00:04:37,300","00:00:19,760",om,,au,257.54,277.3,19.76,1,16.216
"00:04:38,800","00:04:57,440","00:00:18,640",yk,mocap,in,278.8,297.44,18.64,1,16.216
"00:04:57,440","00:05:30,420","00:00:32,980",fm,,au,297.44,330.42,32.98,1,16.216
"00:05:26,260","00:05:44,040","00:00:17,780",om,,au,326.26,344.04,17.78,1,16.216
"00:05:43,160","00:05:59,400","00:00:16,240",dt,,au,343.16,359.4,16.24,1,16.216
"00:06:07,060","00:06:28,700","00:00:21,640",grf,,in,367.06,388.7,21.64,1,16.216
