Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:15,300","00:00:54,460","00:00:39,160",gr,,gr,15.3,54.46,39.16,1,13.334
"00:00:56,020","00:01:16,100","00:00:20,080",ak,,au,56.02,76.1,20.08,1,13.334
"00:01:12,800","00:01:27,120","00:00:14,320",ht,mocap,in,72.8,87.12,14.32,1,13.334
"00:01:26,340","00:01:41,240","00:00:14,900",fk,,au,86.34,101.24,14.9,1,13.334
"00:01:38,880","00:01:58,020","00:00:19,140",ak,,au,98.88,118.02,19.14,1,13.334
"00:01:39,460","00:01:58,860","00:00:19,400",mb,,au,99.46,118.86,19.4,1,13.334
"00:02:00,800","00:02:12,580","00:00:11,780",fk,,au,120.8,132.58,11.78,1,13.334
"00:02:13,840","00:02:27,820","00:00:13,980",ht,mocap,in,133.84,147.82,13.98,1,13.334
"00:02:26,440","00:02:39,840","00:00:13,400",ak,,au,146.44,159.84,13.4,1,13.334
"00:02:26,620","00:02:41,600","00:00:14,980",mb,,au,146.62,161.6,14.98,1,13.334
"00:02:39,520","00:02:56,940","00:00:17,420",fk,,au,159.52,176.94,17.42,1,13.334
"00:02:58,420","00:03:11,320","00:00:12,900",mb,,au,178.42,191.32,12.9,1,13.334
"00:03:12,360","00:04:06,760","00:00:54,400",om,,au,192.36,246.76,54.4,1,13.334
"00:04:10,240","00:04:32,420","00:00:22,180",grf,,in,250.24,272.42,22.18,1,13.334
