Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:33,560","00:01:05,420","00:00:31,860",gr,,gr,33.56,65.42,31.86,1,7.345
"00:01:10,980","00:01:33,500","00:00:22,520",bt,,au,70.98,93.5,22.52,1,7.345
"00:01:35,000","00:01:44,200","00:00:09,200",nd,,au,95,104.2,9.2,1,7.345
"00:01:44,280","00:02:01,420","00:00:17,140",ds,,au,104.28,121.42,17.14,1,7.345
"00:02:00,880","00:02:10,300","00:00:09,420",tm,mocap,in,120.88,130.3,9.42,1,7.345
"00:02:12,040","00:02:32,420","00:00:20,380",nd,,au,132.04,152.42,20.38,1,7.345
"00:02:32,160","00:02:53,580","00:00:21,420",bt,,au,152.16,173.58,21.42,1,7.345
"00:02:53,020","00:03:15,500","00:00:22,480",ds,,au,173.02,195.5,22.48,1,7.345
"00:03:15,260","00:03:30,980","00:00:15,720",tm,mocap,in,195.26,210.98,15.72,1,7.345
"00:03:29,380","00:03:47,480","00:00:18,100",nd,,au,209.38,227.48,18.1,1,7.345
"00:03:48,160","00:04:03,520","00:00:15,360",tm,mocap,in,228.16,243.52,15.36,1,7.345
"00:04:07,660","00:04:23,600","00:00:15,940",grf,grf contains mo as well,in,247.66,263.6,15.94,1,7.345
