Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:31,900","00:01:11,460","00:00:39,560",gr,,gr,31.9,71.46,39.56,1,10.75
"00:01:10,780","00:01:30,340","00:00:19,560",nd,,au,70.78,90.34,19.56,1,10.75
"00:01:30,340","00:01:54,860","00:00:24,520",bt,,au,90.34,114.86,24.52,1,10.75
"00:01:54,860","00:02:15,680","00:00:20,820",tm,mocap,in,114.86,135.68,20.82,1,10.75
"00:02:22,620","00:02:37,840","00:00:15,220",om,,au,142.62,157.84,15.22,1,10.75
"00:02:38,460","00:02:59,040","00:00:20,580",nd,,au,158.46,179.04,20.58,1,10.75
"00:03:01,280","00:03:20,060","00:00:18,780",bt,,au,181.28,200.06,18.78,1,10.75
"00:03:20,820","00:03:39,760","00:00:18,940",tm,mocap,in,200.82,219.76,18.94,1,10.75
"00:03:42,360","00:04:01,220","00:00:18,860",om,,au,222.36,241.22,18.86,1,10.75
"00:04:01,940","00:04:14,080","00:00:12,140",grf,,in,241.94,254.08,12.14,1,10.75
