Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:09,060","00:00:42,740","00:00:33,680",gr,,gr,9.06,42.74,33.68,1,9.228
"00:00:45,040","00:01:14,120","00:00:29,080",ht,mocap,in,45.04,74.12,29.08,1,9.228
"00:01:13,340","00:01:26,460","00:00:13,120",ak,,au,73.34,86.46,13.12,1,9.228
"00:01:13,420","00:01:33,740","00:00:20,320",mb,,au,73.42,93.74,20.32,1,9.228
"00:01:31,380","00:01:41,460","00:00:10,080",fk,,au,91.38,101.46,10.08,1,9.228
"00:01:40,420","00:01:56,420","00:00:16,000",ht,mocap,in,100.42,116.42,16,1,9.228
"00:01:58,360","00:02:12,880","00:00:14,520",fk,,au,118.36,132.88,14.52,1,9.228
"00:02:12,880","00:02:36,160","00:00:23,280",mb,,au,132.88,156.16,23.28,1,9.228
"00:02:16,780","00:02:35,380","00:00:18,600",ak,,au,136.78,155.38,18.6,1,9.228
"00:02:45,920","00:03:07,220","00:00:21,300",mb,,au,165.92,187.22,21.3,1,9.228
"00:03:05,840","00:03:19,760","00:00:13,920",fk,,au,185.84,199.76,13.92,1,9.228
"00:03:18,340","00:03:39,820","00:00:21,480",ht,mocap,in,198.34,219.82,21.48,1,9.228
"00:03:42,600","00:04:06,760","00:00:24,160",om,,au,222.6,246.76,24.16,"1,2","9.228,240.185"
"00:04:06,760","00:04:34,900","00:00:28,140",mb,,au,246.76,274.9,28.14,2,240.185
"00:04:08,800","00:04:35,500","00:00:26,700",ak,,au,248.8,275.5,26.7,2,240.185
"00:04:33,740","00:04:44,520","00:00:10,780",fk,,au,273.74,284.52,10.78,2,240.185
"00:04:47,260","00:05:03,540","00:00:16,280",om,,au,287.26,303.54,16.28,2,240.185
"00:05:04,400","00:05:24,840","00:00:20,440",grf,,in,304.4,324.84,20.44,2,240.185
