Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:01:25,980","00:01:58,020","00:00:32,040",gr,,gr,85.98,118.02,32.04,1,2.271
"00:02:14,400","00:02:25,000","00:00:10,600",ht,mocap,in,134.4,145.0,10.6,1,2.271
"00:02:25,100","00:02:35,460","00:00:10,360",mb,,au,145.1,155.46,10.36,1,2.271
"00:02:38,000","00:02:52,880","00:00:14,880",ak,,au,158.0,172.88,14.88,1,2.271
"00:02:49,160","00:02:57,980","00:00:08,820",fk,,au,169.16,177.98,8.82,1,2.271
"00:02:58,680","00:03:20,540","00:00:21,860",ht,mocap,in,178.68,200.54,21.86,1,2.271
"00:03:26,980","00:03:50,380","00:00:23,400",om,,au,206.98,230.38,23.4,1,2.271
"00:03:50,380","00:04:07,440","00:00:17,060",fk,,au,230.38,247.44,17.06,1,2.271
"00:03:52,420","00:04:10,640","00:00:18,220",ak,,au,232.42,250.64,18.22,1,2.271
"00:04:13,240","00:04:32,580","00:00:19,340",grf,,in,253.24,272.58,19.34,1,2.271
