Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:35,520","00:01:11,440","00:00:35,920",gr,,gr,35.52,71.44,35.92,1,14.098
"00:01:14,840","00:01:31,680","00:00:16,840",yk,,au,74.84,91.68,16.84,1,14.098
"00:01:32,085","00:01:56,460","00:00:24,375",dt,,au,92.085,116.46,24.375,1,14.098
"00:01:52,760","00:02:23,140","00:00:30,380",fm,,au,112.76,143.14,30.38,1,14.098
"00:02:21,520","00:02:41,380","00:00:19,860",om,mocap,in,141.52,161.38,19.86,1,14.098
"00:02:41,500","00:02:58,100","00:00:16,600",yk,,au,161.5,178.1,16.6,1,14.098
"00:02:44,455","00:02:56,944","00:00:12,489",om,mocap,in,164.455,176.944,12.489,1,14.098
"00:02:58,100","00:03:18,288","00:00:20,188",dt,,au,178.1,198.288,20.188,1,14.098
"00:03:15,160","00:03:41,579","00:00:26,419",fm,,au,195.16,221.579,26.419,1,14.098
"00:03:47,200","00:04:10,829","00:00:23,629",om,mocap,in,227.2,250.829,23.629,1,14.098
"00:04:09,780","00:04:26,556","00:00:16,776",dt,,au,249.78,266.556,16.776,1,14.098
"00:04:10,500","00:04:26,737","00:00:16,237",yk,,au,250.5,266.737,16.237,1,14.098
"00:04:25,740","00:04:48,460","00:00:22,720",fm,,au,265.74,288.46,22.72,1,14.098
"00:04:46,700","00:05:13,739","00:00:27,039",om,mocap,in,286.7,313.739,27.039,1,14.098
"00:05:12,860","00:05:33,605","00:00:20,745",yk,,au,312.86,333.605,20.745,1,14.098
"00:05:15,635","00:05:33,600","00:00:17,965",dt,,au,315.635,333.6,17.965,1,14.098
"00:05:34,712","00:05:59,804","00:00:25,092",fm,,au,334.712,359.804,25.092,1,14.098
