Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:12,440","00:00:49,260","00:00:36,820",gr,,gr,12.44,49.26,36.82,1,7.409
"00:01:03,280","00:01:22,620","00:00:19,340",ht,mocap,in,63.28,82.62,19.34,1,7.409
"00:01:21,800","00:01:32,320","00:00:10,520",ak,,au,81.8,92.32,10.52,1,7.409
"00:01:31,760","00:01:49,900","00:00:18,140",mb,,au,91.76,109.9,18.14,1,7.409
"00:01:49,460","00:02:02,720","00:00:13,260",fk,,au,109.46,122.72,13.26,1,7.409
"00:02:03,160","00:02:25,300","00:00:22,140",om,,au,123.16,145.3,22.14,1,7.409
"00:02:29,400","00:02:42,240","00:00:12,840",ht,mocap,in,149.4,162.24,12.84,1,7.409
"00:02:40,100","00:02:49,740","00:00:09,640",fk,,au,160.1,169.74,9.64,1,7.409
"00:02:51,280","00:03:07,020","00:00:15,740",ak,,au,171.28,187.02,15.74,1,7.409
"00:03:05,000","00:03:25,360","00:00:20,360",mb,,au,185.0,205.36,20.36,1,7.409
"00:03:27,760","00:03:38,580","00:00:10,820",ht,mocap,in,207.76,218.58,10.82,1,7.409
"00:03:43,280","00:03:56,520","00:00:13,240",fk,,au,223.28,236.52,13.24,1,7.409
"00:03:44,220","00:03:58,440","00:00:14,220",ak,,au,224.22,238.44,14.22,1,7.409
"00:04:00,540","00:04:18,880","00:00:18,340",ht,mocap,in,240.54,258.88,18.34,1,7.409
"00:04:01,300","00:04:18,960","00:00:17,660",mb,,au,241.3,258.96,17.66,1,7.409
"00:04:24,860","00:04:40,500","00:00:15,640",grf,,in,264.86,280.5,15.64,1,7.409
