Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:53,940","00:01:11,180","00:00:17,240",gr,,gr,53.94,71.18,17.24,1,53.345
"00:01:13,400","00:01:34,080","00:00:20,680",dt,,au,73.4,94.08,20.68,1,53.345
"00:01:31,860","00:01:53,300","00:00:21,440",yk,,au,91.86,113.3,21.44,1,53.345
"00:01:53,740","00:02:27,740","00:00:34,000",om,mocap,in,113.74,147.74,34,1,53.345
"00:02:26,280","00:03:06,740","00:00:40,460",fm,,au,146.28,186.74,40.46,1,53.345
"00:02:58,940","00:03:16,880","00:00:17,940",dt,,au,178.94,196.88,17.94,1,53.345
"00:03:15,020","00:03:35,560","00:00:20,540",yk,,au,195.02,215.56,20.54,1,53.345
"00:03:35,560","00:04:00,940","00:00:25,380",fm,,au,215.56,240.94,25.38,1,53.345
"00:03:58,320","00:04:28,120","00:00:29,800",om,mocap,in,238.32,268.12,29.8,1,53.345
"00:04:26,480","00:04:54,040","00:00:27,560",dt,,au,266.48,294.04,27.56,1,53.345
"00:04:28,720","00:04:57,560","00:00:28,840",yk,,au,268.72,297.56,28.84,1,53.345
"00:04:54,240","00:05:31,060","00:00:36,820",fm,,au,294.24,331.06,36.82,1,53.345
"00:05:31,700","00:06:01,540","00:00:29,840",om,mocap,in,331.7,361.54,29.84,1,53.345
"00:05:59,780","00:06:18,320","00:00:18,540",yk,,au,359.78,378.32,18.54,1,53.345
"00:06:17,260","00:06:40,940","00:00:23,680",dt,,au,377.26,400.94,23.68,1,53.345
"00:06:35,720","00:06:59,800","00:00:24,080",fm,,au,395.72,419.8,24.08,1,53.345
"00:06:59,800","00:07:34,960","00:00:35,160",om,mocap,in,419.8,454.96,35.16,1,53.345
"00:07:44,640","00:08:10,240","00:00:25,600",grf,,in,464.64,490.24,25.6,1,53.345
