Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:38,300","00:01:30,940","00:00:52,640",gr,,gr,38.3,90.94,52.64,1,16.961
"00:01:30,940","00:01:48,140","00:00:17,200",nd,,au,90.94,108.14,17.2,1,16.961
"00:01:48,140","00:02:19,640","00:00:31,500",bt,,au,108.14,139.64,31.5,1,16.961
"00:02:19,640","00:02:47,260","00:00:27,620",ds,,au,139.64,167.26,27.62,1,16.961
"00:02:47,520","00:03:17,180","00:00:29,660",tm,mocap,in,167.52,197.18,29.66,1,16.961
"00:03:21,020","00:03:33,760","00:00:12,740",ds,,au,201.02,213.76,12.74,1,16.961
"00:03:34,620","00:03:53,840","00:00:19,220",grf,,in,214.62,233.84,19.22,1,16.961
