Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:19,040","00:01:04,180","00:00:45,140",gr,,gr,19.04,64.18,45.14,1,9.144
"00:01:08,020","00:01:26,420","00:00:18,400",nd,,au,68.02,86.42,18.4,1,9.144
"00:01:26,980","00:02:01,220","00:00:34,240",bt,,au,86.98,121.22,34.24,1,9.144
"00:01:59,880","00:02:33,140","00:00:33,260",ds,,au,119.88,153.14,33.26,1,9.144
"00:02:36,000","00:03:01,220","00:00:25,220",tm,mocap,in,156.0,181.22,25.22,1,9.144
"00:02:59,840","00:03:13,500","00:00:13,660",nd,,au,179.84,193.5,13.66,1,9.144
"00:03:13,740","00:03:30,760","00:00:17,020",bt,,au,193.74,210.76,17.02,1,9.144
"00:03:31,600","00:03:45,680","00:00:14,080",om,,au,211.6,225.68,14.08,1,9.144
"00:03:48,260","00:04:08,960","00:00:20,700",ds,,au,228.26,248.96,20.7,1,9.144
"00:04:10,880","00:04:27,720","00:00:16,840",grf,,in,250.88,267.72,16.84,1,9.144
