Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:08,400","00:00:49,420","00:00:41,020",gr,,gr,8.4,49.42,41.02,1,6.04
"00:00:52,240","00:01:13,100","00:00:20,860",ht,mocap,in,52.24,73.1,20.86,1,6.04
"00:01:12,340","00:01:24,300","00:00:11,960",fk,,au,72.34,84.3,11.96,1,6.04
"00:01:12,620","00:01:25,920","00:00:13,300",ak,,au,72.62,85.92,13.3,1,6.04
"00:01:25,420","00:01:38,320","00:00:12,900",mb,,au,85.42,98.32,12.9,1,6.04
"00:01:37,840","00:01:53,520","00:00:15,680",ht,mocap,in,97.84,113.52,15.68,1,6.04
"00:01:55,160","00:02:17,040","00:00:21,880",ak,,au,115.16,137.04,21.88,1,6.04
"00:01:57,180","00:02:17,480","00:00:20,300",mb,,au,117.18,137.48,20.3,1,6.04
"00:02:20,540","00:02:33,520","00:00:12,980",grf,,in,140.54,153.52,12.98,1,6.04
"00:02:40,320","00:03:10,320","00:00:30,000",om,,au,160.32,190.32,30.0,1,6.04
