Start,End,Length,Name,Notes,mocap,Start (in sec),End (in sec),Length (in sec),Part,part time
"00:00:26,600","00:00:53,540","00:00:26,940",gr,,gr,26.6,53.54,26.94,1,8.04
"00:00:53,460","00:01:10,460","00:00:17,000",nd,,au,53.46,70.46,17.0,1,8.04
"00:01:11,920","00:01:31,720","00:00:19,800",bt,,au,71.92,91.72,19.8,1,8.04
"00:01:31,960","00:02:01,400","00:00:29,440",tm,mocap,in,91.96,121.4,29.44,1,8.04
"00:02:00,880","00:02:42,720","00:00:41,840",ds,,au,120.88,162.72,41.84,1,8.04
"00:02:47,260","00:02:57,620","00:00:10,360",nd,,au,167.26,177.62,10.36,1,8.04
"00:03:01,300","00:03:24,780","00:00:23,480",tm,mocap,in,181.3,204.78,23.48,1,8.04
"00:03:27,300","00:03:59,200","00:00:31,900",om,,au,207.3,239.2,31.9,1,8.04
"00:03:59,080","00:04:20,220","00:00:21,140",ds,,au,239.08,260.22,21.14,1,8.04
"00:04:23,900","00:04:42,180","00:00:18,280",grf,,in,263.9,282.18,18.28,1,8.04
