Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:53,400","00:02:33,540",au,113.4,153.54,40.14,"[113.893 115.675 117.421 119.16  120.954 122.683 124.436 126.183 127.917
 129.618 131.331 133.043 134.736 136.413 138.067 139.666 141.222 142.764
 144.294 145.815 147.33  148.836 150.371 151.9   153.418]","[1.782 1.746 1.739 1.794 1.729 1.753 1.747 1.734 1.701 1.713 1.712 1.693
 1.677 1.654 1.599 1.556 1.542 1.53  1.521 1.515 1.506 1.535 1.529 1.518]",24,42
Section_2,"00:02:50,860","00:03:05,960",au,170.86,185.96,15.1,"[170.875 172.3   173.716 175.091 176.486 177.854 179.227 180.614 182.019
 183.396 184.795]",[1.425 1.416 1.375 1.395 1.368 1.373 1.387 1.405 1.377 1.399],10,44
Section_3,"00:03:06,580","00:03:32,080",au,186.58,212.08,25.5,"[187.579 188.963 190.327 191.692 193.072 194.417 195.789 197.134 198.476
 199.814 201.187 202.534 203.865 205.167 206.498 207.8   209.122 210.425
 211.756]","[1.384 1.364 1.365 1.38  1.345 1.372 1.345 1.342 1.338 1.373 1.347 1.331
 1.302 1.331 1.302 1.322 1.303 1.331]",18,45
Section_4,"00:03:33,000","00:04:05,260",au,213.0,245.26,32.26,"[213.106 214.435 215.778 217.127 218.475 219.788 221.098 222.411 223.705
 224.979 226.266 227.571 228.867 230.161 231.472 232.755 234.059 235.323
 236.619 237.884 239.18  240.451 241.751 243.038 244.307]","[1.329 1.343 1.349 1.348 1.313 1.31  1.313 1.294 1.274 1.287 1.305 1.296
 1.294 1.311 1.283 1.304 1.264 1.296 1.265 1.296 1.271 1.3   1.287 1.269]",24,56
Section_5,"00:04:19,820","00:04:36,680",au,259.82,276.68,16.86,"[260.59  261.84  263.059 264.259 265.435 266.648 267.811 269.033 270.226
 271.451 272.637 273.861 275.043 276.271]","[1.25  1.219 1.2   1.176 1.213 1.163 1.222 1.193 1.225 1.186 1.224 1.182
 1.228]",13,57
Section_6,"00:04:37,800","00:04:56,980",au,277.8,296.98,19.18,"[278.656 279.839 281.049 282.236 283.432 284.632 285.843 287.039 288.24
 289.418 290.612 291.816 293.016 294.221 295.415 296.696]","[1.183 1.21  1.187 1.196 1.2   1.211 1.196 1.201 1.178 1.194 1.204 1.2
 1.205 1.194 1.281]",15,57
