Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:13,400","00:01:34,080",au,73.4,94.08,20.68,"[74.358 76.01  77.651 79.275 80.886 82.508 84.135 85.76  87.363 88.971
 90.541 92.098 93.62 ]",[1.652 1.641 1.624 1.611 1.622 1.627 1.625 1.603 1.608 1.57  1.557 1.522],12,0
Section_2,"00:01:31,860","00:01:53,300",au,91.86,113.3,21.44,"[ 92.098  93.62   95.091  96.502  97.898  99.278 100.647 102.008 103.365
 104.714 106.056 107.377 108.71  110.042 111.367 112.726]","[1.522 1.471 1.411 1.396 1.38  1.369 1.361 1.357 1.349 1.342 1.321 1.333
 1.332 1.325 1.359]",15,0
Section_3,"00:02:26,280","00:03:06,740",au,146.28,186.74,40.46,"[147.093 148.348 149.614 150.869 152.107 153.351 154.607 155.867 157.099
 158.34  159.555 160.792 162.012 163.24  164.487 165.726 166.974 168.204
 169.434 170.652 171.86  173.075 174.26  175.479 176.691 177.903 179.11
 180.312 181.503 182.7   183.907 185.091 186.267]","[1.255 1.266 1.255 1.238 1.244 1.256 1.26  1.232 1.241 1.215 1.237 1.22
 1.228 1.247 1.239 1.248 1.23  1.23  1.218 1.208 1.215 1.185 1.219 1.212
 1.212 1.207 1.202 1.191 1.197 1.207 1.184 1.176]",32,22
Section_4,"00:02:58,940","00:03:16,880",au,178.94,196.88,17.94,"[179.11  180.312 181.503 182.7   183.907 185.091 186.267 187.451 188.643
 189.839 191.05  192.227 193.421 194.61  195.785]","[1.202 1.191 1.197 1.207 1.184 1.176 1.184 1.192 1.196 1.211 1.177 1.194
 1.189 1.175]",14,27
Section_5,"00:03:15,020","00:03:35,560",au,195.02,215.56,20.54,"[195.785 196.997 198.21  199.414 200.608 201.81  202.996 204.186 205.363
 206.55  207.718 208.915 210.102 211.279 212.473 213.652 214.838]","[1.212 1.213 1.204 1.194 1.202 1.186 1.19  1.177 1.187 1.168 1.197 1.187
 1.177 1.194 1.179 1.186]",16,37
Section_6,"00:03:35,560","00:04:00,940",au,215.56,240.94,25.38,"[216.011 217.197 218.381 219.58  220.782 221.944 223.117 224.294 225.453
 226.619 227.78  228.952 230.107 231.265 232.439 233.607 234.769 235.924
 237.083 238.234 239.38  240.553]","[1.186 1.184 1.199 1.202 1.162 1.173 1.177 1.159 1.166 1.161 1.172 1.155
 1.158 1.174 1.168 1.162 1.155 1.159 1.151 1.146 1.173]",21,42
Section_7,"00:04:26,480","00:04:54,040",au,266.48,294.04,27.56,"[267.003 268.171 269.323 270.452 271.596 272.727 273.837 274.955 276.059
 277.179 278.292 279.422 280.547 281.676 282.788 283.919 285.035 286.159
 287.271 288.387 289.502 290.621 291.733 292.87  294.006]","[1.168 1.152 1.129 1.144 1.131 1.11  1.118 1.104 1.12  1.113 1.13  1.125
 1.129 1.112 1.131 1.116 1.124 1.112 1.116 1.115 1.119 1.112 1.137 1.136]",24,63
Section_8,"00:04:28,720","00:04:57,560",au,268.72,297.56,28.84,"[269.323 270.452 271.596 272.727 273.837 274.955 276.059 277.179 278.292
 279.422 280.547 281.676 282.788 283.919 285.035 286.159 287.271 288.387
 289.502 290.621 291.733 292.87  294.006 295.144 296.267 297.395]","[1.129 1.144 1.131 1.11  1.118 1.104 1.12  1.113 1.13  1.125 1.129 1.112
 1.131 1.116 1.124 1.112 1.116 1.115 1.119 1.112 1.137 1.136 1.138 1.123
 1.128]",25,79
Section_9,"00:04:54,240","00:05:31,060",au,294.24,331.06,36.82,"[295.144 296.267 297.395 298.521 299.643 300.787 301.919 303.047 304.178
 305.312 306.443 307.574 308.711 309.848 310.986 312.119 313.252 314.371
 315.488 316.614 317.74  318.87  319.995 321.119 322.255 323.372 324.482
 325.612 326.742 327.867 328.988 330.12 ]","[1.123 1.128 1.126 1.122 1.144 1.132 1.128 1.131 1.134 1.131 1.131 1.137
 1.137 1.138 1.133 1.133 1.119 1.117 1.126 1.126 1.13  1.125 1.124 1.136
 1.117 1.11  1.13  1.13  1.125 1.121 1.132]",31,83
Section_10,"00:05:59,780","00:06:18,320",au,359.78,378.32,18.54,"[360.734 361.875 362.996 364.14  365.258 366.375 367.492 368.622 369.716
 370.828 371.936 373.056 374.165 375.264 376.371 377.49 ]","[1.141 1.121 1.144 1.118 1.117 1.117 1.13  1.094 1.112 1.108 1.12  1.109
 1.099 1.107 1.119]",15,91
Section_11,"00:06:17,260","00:06:40,940",au,377.26,400.94,23.68,"[377.49  378.61  379.73  380.843 381.949 383.051 384.141 385.212 386.275
 387.339 388.486 389.564 390.684 391.776 392.864 393.944 395.016 396.091
 397.171 398.247 399.306 400.363]","[1.12  1.12  1.113 1.106 1.102 1.09  1.071 1.063 1.064 1.147 1.078 1.12
 1.092 1.088 1.08  1.072 1.075 1.08  1.076 1.059 1.057]",21,94
Section_12,"00:06:35,720","00:06:59,800",au,395.72,419.8,24.08,"[396.091 397.171 398.247 399.306 400.363 401.435 402.498 403.559 404.626
 405.7   406.781 407.854 408.929 409.991 411.064 412.144 413.22  414.296
 415.382 416.471 417.555 418.667 419.785]","[1.08  1.076 1.059 1.057 1.072 1.063 1.061 1.067 1.074 1.081 1.073 1.075
 1.062 1.073 1.08  1.076 1.076 1.086 1.089 1.084 1.112 1.118]",22,108
