Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:00:45,040","00:01:14,120",in,45.04,74.12,29.08,"[45.855 47.88  49.846 51.789 53.712 55.597 57.467 59.336 61.195 63.03
 64.752 66.387 67.97  69.411 70.884 72.296 73.812]","[2.025 1.966 1.943 1.923 1.885 1.87  1.869 1.859 1.835 1.722 1.635 1.583
 1.441 1.473 1.412 1.516]",16,115
Section_2,"00:01:40,420","00:01:56,420",in,100.42,116.42,16.0,"[101.046 102.284 103.508 104.724 105.92  107.108 108.291 109.456 110.579
 111.691 112.766 113.808 114.851 115.917]","[1.238 1.224 1.216 1.196 1.188 1.183 1.165 1.123 1.112 1.075 1.042 1.043
 1.066]",13,179
Section_3,"00:03:18,340","00:03:39,820",in,198.34,219.82,21.48,"[198.829 200.02  201.247 202.478 203.678 204.891 206.06  207.249 208.427
 209.579 210.729 211.864 213.001 214.119 215.195 216.254 217.297 218.328
 219.373]","[1.191 1.227 1.231 1.2   1.213 1.169 1.189 1.178 1.152 1.15  1.135 1.137
 1.118 1.076 1.059 1.043 1.031 1.045]",18,280
Section_4,"00:05:04,400","00:05:24,840",in,304.4,324.84,20.44,"[304.915 305.835 306.734 307.654 308.556 309.482 310.372 311.295 312.186
 313.131 314.058 315.009 315.928 316.858 317.782 318.74  319.678 320.613
 321.542 322.459 323.389]","[0.92  0.899 0.92  0.902 0.926 0.89  0.923 0.891 0.945 0.927 0.951 0.919
 0.93  0.924 0.958 0.938 0.935 0.929 0.917 0.93 ]",20,372
