cycle_onset,ioi,tempo
27.469666666,2.377333333500001,100.95344923577159
29.8469999995,2.346666667000001,102.27272725819985
32.1936666665,2.3137777775000075,103.72646947076974
34.50744444400001,2.3155555559999925,103.6468329935422
36.823,2.3137777773333283,103.72646947824195
39.13677777733333,2.2960000000000065,104.52961672473837
41.432777777333335,2.3235555560000023,103.2899770269146
43.75633333333334,2.269333332666662,105.75793187595731
46.025666666,2.197333333499998,109.22330096258936
48.2229999995,2.240000000166674,107.14285713488485
50.46299999966667,2.1826666668333345,109.95723884316142
52.645666666500006,2.1879999998333233,109.68921390232296
54.83366666633333,2.160888888999999,111.0654051773414
56.99455555533333,2.1164444443333394,113.39773205131203
59.11099999966667,2.090666666666664,114.7959183673471
61.20166666633333,2.115555555666667,113.44537814530223
63.317222222,2.070222221999998,115.92958352468125
65.387444444,2.082666666666668,115.236875800256
67.47011111066666,2.034222222333341,117.98121039338054
69.504333333,2.0128888886666516,119.23161847198496
71.51722222166666,2.0008888893333534,119.94669033319589
73.51811111100001,1.96444444433331,122.17194570826909
75.48255555533332,1.9208888886666813,124.94215642352313
77.403444444,1.9164444446666664,125.23191093167536
79.31988888866667,1.87199999966667,128.20512822795652
81.19188888833334,1.8995555559999957,126.34534391054186
83.09144444433333,1.8737777776666746,128.08349146869512
84.96522222200001,1.8222222220000077,131.70731708923205
86.78744444400002,1.8097777779999973,132.61296658489547
88.59722222200001,1.7866666666666475,134.32835820895667
90.38388888866666,1.7573333333333352,136.5705614567525
92.141222222,1.7679999996666425,135.74660636043674
93.90922222166664,1.7297777780000416,138.74614592256268
95.63899999966668,1.7173333333333147,139.75155279503258
97.356333333,1.7319999999999993,138.5681293302541
99.088333333,1.7040000000000077,140.84507042253458
100.792333333,1.7026666666666728,140.95536413469017
102.49499999966667,1.6648888890000109,144.15376400532782
104.15988888866669,1.6462222219999774,145.7883369527272
105.80611111066666,1.639111111333321,146.42082427516098
107.44522222199998,1.6568888886666997,144.84978542714973
109.10211111066668,1.6195555556666363,148.18880350245965
110.72166666633332,1.6088888886666837,149.17127073883424
