cycle_onset,ioi,tempo
19.701222221666665,3.3604444443333357,71.41912445679863
23.061666666,3.3311111116666616,72.04803200933166
26.392777777666662,3.299555555666668,72.73706896306783
29.69233333333333,3.32266666666667,72.2311396468699
33.015,3.3528888883333323,71.58006363858368
36.36788888833333,3.353777777999994,71.56109196451371
39.72166666633333,3.2906666666666737,72.9335494327389
43.012333333,3.319111110999998,72.30851633878916
46.331444444,3.348444444666683,71.67507299763204
49.67988888866668,3.368888888999983,71.24010553854785
53.048777777666665,3.311999999666675,72.4637681232349
56.36077777733334,3.319999999999993,72.28915662650617
59.68077777733333,3.3324444443333334,72.01920512376698
63.013222221666666,3.293777777833327,72.86466063836095
66.3069999995,3.3320000005000026,72.02881151380114
69.639,3.26399999966668,73.52941177221471
72.90299999966668,3.2999999998333323,72.72727273094584
76.20299999950001,3.3035555558333414,72.6489977067931
79.50655555533335,3.2639999996666518,73.52941177221535
82.770555555,3.2542222226666695,73.75034142669341
86.02477777766667,3.276444444333322,73.25013565088368
89.30122222199999,3.2524444443333493,73.79065318645053
92.55366666633334,3.194666666666663,75.1252086811353
95.748333333,3.206222221999994,74.85444968636378
98.954555555,3.2177777779999985,74.58563535396512
102.172333333,2.8440000000000083,84.3881856540082
105.016333333,2.3373333333333193,102.6811180832864
107.35366666633332,2.30488888900004,104.1264944030002
109.65855555533336,2.311999999999955,103.80622837370444
111.97055555533332,2.297777777999997,104.44874273651381
114.26833333333332,2.2737777776666803,105.55121188944186
116.542111111,2.279111111000006,105.30421217362024
118.821222222,2.2791111106666335,105.30421218902342
121.10033333266664,2.2648888893333634,105.965463087525
123.365222222,2.2631111110000006,106.04870385438178
125.628333333,2.2835555553333364,105.09926042283941
127.91188888833334,2.277333333333317,105.38641686182746
130.18922222166665,2.260444444666632,106.17381044965029
132.4496666663333,2.2497777776666794,106.67720269195303
134.69944444399997,2.2395555555000044,107.16411986771075
136.93899999949997,2.197777777833352,109.20121334405366
139.13677777733332,2.176888888999997,110.24908125202909
141.31366666633332,2.1920000000000073,109.48905109489014
143.50566666633333,2.1866666666666674,109.75609756097558
145.692333333,2.1582222220000062,111.20263592578249
147.850555555,2.155555555666666,111.34020617982786
150.00611111066667,2.162666666666638,110.97410604192501
152.1687777773333,2.112888889000004,113.58855699865414
154.2816666663333,2.1359999999999957,112.35955056179797
156.4176666663333,2.1137777780000704,113.54079056837924
158.53144444433337,2.1142222216666084,113.51692245993505
160.64566666599998,2.10133333349998,114.21319796048545
162.74699999949996,2.1213333335000186,113.13639219726987
164.86833333299998,2.085333333333324,115.08951406649668
166.9536666663333,2.083555555666692,115.18771330443613
169.037222222,2.082666666666654,115.23687580025678
171.11988888866665,2.095999999999975,114.50381679389449
173.21588888866663,2.104888888666693,114.02027028230646
175.32077777733332,2.0711111113332947,115.87982831374896
177.3918888886666,2.0515555553333797,116.98440209239168
179.443444444,2.0506666666667,117.03511053315803
181.4941111106667,2.0355555553333033,117.90393014387772
183.529666666,2.0524444446666337,116.93373753606362
185.58211111066663,2.0213333333333594,118.73350923482697
187.603444444,1.9982222220000097,120.10676157919279
189.601666666,2.006222222666679,119.62782451935509
191.60788888866668,2.0302222220000203,118.21366025812203
193.6381111106667,2.0168888889999437,118.9951520428088
195.65499999966664,2.0195555556666704,118.83802816247568
197.6745555553333,2.013333333333321,119.20529801324575
199.68788888866663,2.0031111108333732,119.81362326933055
201.6909999995,2.0013333334999857,119.92005328781565
203.692333333,2.0,120.0
205.692333333,2.0035555556666793,119.78704524623998
207.69588888866667,2.0026666666666415,119.84021304926915
209.69855555533331,1.98222222233332,121.07623317707053
211.68077777766663,1.9928888886666982,120.4281891302867
213.67366666633333,2.008888888999934,119.4690265420687
215.68255555533327,1.9831111106667265,121.02196327230068
217.665666666,2.0160000000000196,119.0476190476179
219.681666666,1.973333333666659,121.6216216010779
221.65499999966667,1.9373333333333278,123.8816242257402
223.592333333,1.9706666664999943,121.78619757457632
225.5629999995,1.9640000004999933,122.19959263691497
227.527,1.9866666660000192,120.80536916805433
229.513666666,1.9271111113332609,124.53874537309754
231.44077777733327,1.920888888666724,124.94215642352036
233.361666666,1.8595555560000037,129.06309748349327
235.221222222,1.857777777666655,129.18660287854067
237.07899999966665,1.8573333333333437,129.2175161521888
238.936333333,1.829333333500017,131.19533526501377
240.7656666665,1.7866666664999968,134.3283582214861
242.552333333,1.7915555556666618,133.9617960720692
244.34388888866667,1.7751111108333362,135.20280422746643
246.1189999995,1.7671111111666278,135.81488933174924
247.88611111066663,1.7795555556666613,134.8651348567146
249.6656666663333,1.8062222223333322,132.87401573985773
251.47188888866663,1.7991111108333655,133.3992095067601
253.2709999995,1.7826666670000009,134.62976811244764
255.0536666665,1.8253333335000264,131.48283417352962
256.879,1.76711111066669,135.81488937017298
258.6461111106667,1.7760000003332834,135.13513510977575
260.422111111,1.7306666663333203,138.67488446430667
262.1527777773333,1.7120000003333757,140.18691586055203
263.8647777776667,1.719111110999961,139.60703206693742
265.58388888866665,1.719111110833353,139.6070320804675
267.3029999995,1.7351111114999753,138.31967210014804
269.038111111,1.7386666666666883,138.0368098159492
270.77677777766667,1.739555555333368,137.9662749281994
272.51633333300003,1.7324444443332823,138.53258081956108
274.2487777773333,1.7062222221667298,140.66163063755215
275.95499999950005,1.7533333334999384,136.88212926455975
277.708333333,1.7266666664999661,138.99613900955833
279.43499999949995,1.753333333500052,136.88212926455085
281.188333333,1.7786666669999818,134.9325337078476
282.967,1.7502222219999908,137.1254444054255
284.717222222,1.7524444445000427,136.95155972175195
286.4696666665,1.7586666665000052,136.46702048298548
288.228333333,1.7724444443333027,135.4062186644586
290.0007777773333,1.7795555556667182,134.8651348567103
291.78033333300004,1.767111110999906,135.814889344563
293.54744444399995,1.762666666666746,136.15733736761868
295.3101111106667,1.7768888893332928,135.06753373310275
297.087,1.7475555553333493,137.33468974279307
298.83455555533334,1.7244444446666876,139.1752577140221
300.559,1.7439999996665847,137.61467892539153
302.3029999996666,1.725333333333424,139.10355486861712
304.02833333300003,1.7346666665000043,138.35511146602147
305.76299999950004,1.7333333334999566,138.4615384482283
307.496333333,1.726666666500023,138.99613900955376
309.2229999995,1.7333333334999566,138.4615384482283
310.956333333,1.7480000000000473,137.29977116704433
312.704333333,1.7586666665000052,136.46702048298548
314.4629999995,1.7506666669999618,137.09063211403753
316.2136666665,1.7573333330000196,136.57056148265602
317.9709999995,1.7542222225000046,136.81276917012684
319.725222222,1.7017777780000074,141.02898927382688
321.427,1.755999999666642,136.67425970703957
323.18299999966666,1.754666666666651,136.77811550152097
324.9376666663333,1.7520000000000095,136.98630136986228
326.6896666663333,1.7502222223333774,137.1254443793055
328.4398888886667,1.7306666666665933,138.67488443760217
330.1705555553333,1.6791111106667245,142.932768698495
