time_sec,frames
0.26666666666666666,64
0.7333333333333333,288
1.2,2563
10.679166666666667,2958
11.558333333333334,3354
12.325,3900
12.7375,4230
13.025,4521
13.975,5118
15.125,5695
16.25,6281
16.975,6880
17.625,7470
18.141666666666666,8045
18.8375,8616
19.4125,9178
20.566666666666666,9732
21.325,10304
21.8875,10865
22.479166666666668,11415
23.729166666666668,11994
24.954166666666666,12517
26.170833333333334,13068
27.420833333333334,13622
28.666666666666668,14150
29.891666666666666,14682
31.125,15205
32.295833333333334,15763
33.520833333333336,16268
34.6625,16797
35.9,17158
36.9875,17566
38.24166666666667,17988
39.3375,21483
40.55,22386
41.69583333333333,22487
42.93333333333333,22907
44.0625,23051
45.270833333333336,24254
46.3875,25006
47.5625,25354
48.729166666666664,25766
49.975,26164
51.025,26558
52.15416666666667,26952
53.333333333333336,27346
54.45,27722
55.53333333333333,28121
56.75833333333333,28309
57.82083333333333,28806
58.958333333333336,29289
60.03333333333333,29683
61.175,29971
62.22083333333333,30333
63.354166666666664,30851
64.7,31017
65.67916666666666,31131
66.69166666666666,31407
67.78333333333333,31507
68.92916666666666,31774
69.9875,31874
70.92083333333333,32144
71.49166666666666,32243
72.28333333333333,32510
73.19166666666666,32605
74.0,32872
74.95,32962
77.03333333333333,33249
86.64583333333333,33354
88.50416666666666,33628
89.5125,33722
90.39583333333333,35107
92.6875,35516
93.275,35957
93.69583333333334,36479
94.675,36961
95.44583333333334,37405
96.04583333333333,37858
96.92916666666666,38554
101.05833333333334,39089
103.04166666666667,39259
104.19166666666666,39795
104.925,40125
105.64166666666667,40231
106.475,40438
107.35833333333333,40596
108.17916666666666,40686
109.01666666666667,40813
109.8625,40924
110.65833333333333,41142
111.46666666666667,41306
112.3,41392
113.02916666666667,41626
113.94166666666666,41846
114.70416666666667,42005
115.50833333333334,42095
116.2875,42218
117.17083333333333,42320
117.95416666666667,42537
118.74583333333334,42689
120.025,42757
120.375,43134
121.52083333333333,43490
122.0375,44565
123.18333333333334,44914
123.67916666666666,45276
124.87916666666666,45366
125.27916666666667,45623
126.3875,45708
126.90833333333333,45965
127.99583333333334,46052
128.54583333333332,46304
129.2375,46390
129.7125,46642
130.1125,46736
130.50416666666666,46974
130.8625,47073
131.27916666666667,47190
131.6375,47321
131.97083333333333,47415
132.39166666666668,47658
132.80833333333334,47753
133.17083333333332,47859
133.52083333333334,47980
133.93333333333334,48070
134.34583333333333,48182
134.7125,48296
135.075,48382
135.45833333333334,48485
135.85416666666666,48604
136.2,48699
136.57916666666668,48924
136.96666666666667,49027
137.34166666666667,49175
137.73333333333332,49322
138.125,49556
138.5375,49599
138.975,49894
139.34166666666667,50124
139.70416666666668,50618
140.11666666666667,50790
140.50833333333333,51294
140.9,51474
144.60416666666666,51966
146.27916666666667,52140
147.4125,52658
147.98333333333332,52844
149.82083333333333,53328
150.66666666666666,53532
151.99583333333334,54021
153.15416666666667,54229
154.00416666666666,54710
155.85416666666666,54893
156.75833333333333,55391
157.74166666666667,55574
158.40416666666667,56055
159.225,56248
160.64166666666668,56744
161.35833333333332,56904
162.15,57423
162.87083333333334,57580
163.57916666666668,58090
164.2875,58254
164.85416666666666,58757
165.8125,58923
167.0625,59437
167.1875,59604
167.62916666666666,60102
167.7625,60263
168.08333333333334,60750
168.49166666666667,60921
168.60416666666666,61415
169.15,61577
169.525,62072
169.96666666666667,62237
170.03333333333333,62731
170.05416666666667,62883
170.51666666666668,63354
170.64166666666668,63532
170.98333333333332,64033
171.425,64202
171.49583333333334,64688
172.00833333333333,64864
172.10833333333332,65361
172.46666666666667,65520
172.87916666666666,66024
173.44166666666666,66162
173.57916666666668,66669
173.90416666666667,66844
174.35833333333332,67305
174.44583333333333,67480
174.89583333333334,67971
175.02083333333334,68120
175.39583333333334,68554
175.81666666666666,68721
175.90833333333333,69163
176.33333333333334,69504
176.48333333333332,69665
176.825,70352
177.2375,70772
177.30833333333334,70922
177.74166666666667,71401
177.87083333333334,71560
178.15416666666667,72019
178.30833333333334,72159
179.725,72630
181.20833333333334,72782
182.7,73272
184.22083333333333,74024
185.6875,74348
186.62916666666666,74517
187.14166666666668,75779
188.24166666666667,75937
188.65,76255
189.025,76882
189.39583333333334,77366
189.74583333333334,77762
190.09583333333333,77957
190.45,78194
190.79583333333332,78433
191.17916666666667,78742
191.52083333333334,79056
191.88333333333333,79115
192.2375,79345
192.59166666666667,79412
192.93333333333334,79644
193.29166666666666,79712
193.64166666666668,79942
194.025,80006
194.34166666666667,80312
194.73333333333332,80614
195.05416666666667,80775
195.45,81224
195.725,81533
196.1375,176
196.4625,2774
196.625,3057
196.925,3126
197.17083333333332,3630
197.5625,4074
197.85416666666666,4354
198.2875,4659
198.575,4936
198.75416666666666,5253
198.97083333333333,5395
199.24166666666667,5989
199.4125,6581
199.63333333333333,7174
199.91666666666666,7751
200.1125,8319
200.29166666666666,8877
