time_sec,frames
26.041666666666668,6250
27.916666666666668,6700
30.995833333333334,7439
34.61666666666667,8308
35.77916666666667,8587
36.391666666666666,8734
37.52916666666667,9007
39.3625,9447
40.575,9738
41.2,9888
42.354166666666664,10165
44.24583333333333,10619
45.475,10914
46.05833333333333,11054
49.041666666666664,11770
50.204166666666666,12049
50.8,12192
53.725,12894
54.920833333333334,13181
55.541666666666664,13330
56.666666666666664,13600
58.49166666666667,14038
59.56666666666667,14296
60.25416666666667,14461
63.09166666666667,15142
64.25833333333334,15422
64.84166666666667,15562
67.60833333333333,16226
68.75416666666666,16501
69.27916666666667,16627
73.17916666666666,17563
77.44166666666666,18586
81.525,19566
85.425,20502
89.27916666666667,21427
93.01666666666667,22324
96.6875,23205
99.47083333333333,23873
100.37083333333334,24089
100.81666666666666,24196
141.03333333333333,33848
141.30833333333334,33914
142.04166666666666,34090
143.125,34350
143.86666666666667,34528
144.15833333333333,34598
144.9125,34779
146.02083333333334,35045
146.72083333333333,35213
147.00833333333333,35282
147.77916666666667,35467
148.82916666666668,35719
149.5875,35901
149.85416666666666,35965
150.5875,36141
151.65416666666667,36397
152.3875,36573
152.68333333333334,36644
153.74583333333334,36899
154.09583333333333,36983
155.10416666666666,37225
155.45416666666668,37309
155.78333333333333,37388
156.49166666666667,37558
156.82916666666668,37639
157.1375,37713
157.79583333333332,37871
158.10416666666666,37945
158.46666666666667,38032
159.1375,38193
159.49583333333334,38279
160.4875,38517
160.8625,38607
161.92083333333332,38861
162.67083333333332,39041
162.93333333333334,39104
163.65833333333333,39278
168.07916666666668,40339
