time_sec,frames
0.4,96
1.5666666666666667,376
2.754166666666667,661
3.95,948
4.808333333333334,1154
6.2,1488
7.679166666666666,1843
20.216666666666665,4852
21.320833333333333,5117
22.120833333333334,5309
22.3625,5367
23.370833333333334,5609
24.183333333333334,5804
24.429166666666667,5863
25.45,6108
26.283333333333335,6308
26.5125,6363
27.558333333333334,6614
28.441666666666666,6826
28.695833333333333,6887
30.6625,7359
30.858333333333334,7406
32.020833333333336,7685
32.979166666666664,7915
33.22083333333333,7973
34.36666666666667,8248
35.270833333333336,8465
35.520833333333336,8525
36.62083333333333,8789
37.55,9012
37.775,9066
38.59166666666667,9262
38.87083333333333,9329
39.8125,9555
40.05416666666667,9613
41.2,9888
42.104166666666664,10105
42.36666666666667,10168
43.47083333333333,10433
44.34166666666667,10642
44.608333333333334,10706
45.72083333333333,10973
46.62083333333333,11189
46.86666666666667,11248
48.00833333333333,11522
48.87083333333333,11729
49.13333333333333,11792
50.233333333333334,12056
51.141666666666666,12274
51.3875,12333
52.4875,12597
53.37916666666667,12811
53.62083333333333,12869
54.725,13134
55.5375,13329
55.775,13386
56.87083333333333,13649
57.74583333333333,13859
57.97083333333333,13913
59.09166666666667,14182
59.9625,14391
60.19166666666667,14446
61.32083333333333,14717
62.17916666666667,14923
62.3875,14973
63.50416666666667,15241
64.375,15450
64.60416666666667,15505
65.67083333333333,15761
66.525,15966
66.75833333333334,16022
67.86666666666666,16288
68.7125,16491
68.975,16554
70.075,16818
70.92083333333333,17021
71.1625,17079
72.23333333333333,17336
73.10416666666667,17545
73.3125,17595
74.15,17796
74.38333333333334,17852
75.2875,18069
75.52083333333333,18125
76.32083333333334,18317
76.60833333333333,18386
77.50833333333334,18602
77.7,18648
78.65833333333333,18878
79.67083333333333,19121
79.9375,19185
80.38333333333334,19292
81.40833333333333,19538
82.1625,19719
82.61666666666666,19828
82.9,19896
83.34166666666667,20002
84.05416666666666,20173
85.20833333333333,20450
86.12916666666666,20671
87.48333333333333,20996
88.3625,21207
89.175,21402
90.025,21606
90.84166666666667,21802
91.65416666666667,21997
92.4625,22191
93.24583333333334,22379
94.0125,22563
94.77083333333333,22745
95.4875,22917
96.2125,23091
96.89166666666667,23254
97.5625,23415
98.1875,23565
98.85416666666667,23725
99.4875,23877
100.12916666666666,24031
100.71666666666667,24172
101.35416666666667,24325
101.975,24474
102.6125,24627
103.2625,24783
103.975,24954
104.51666666666667,25084
105.41666666666667,25300
105.75416666666666,25381
105.99583333333334,25439
106.34583333333333,25523
106.89166666666667,25654
107.0375,25689
107.50833333333334,25802
107.78333333333333,25868
108.025,25926
108.325,25998
108.8375,26121
109.2875,26229
110.02916666666667,26407
110.3625,26487
110.80833333333334,26594
111.12083333333334,26669
111.36666666666666,26728
111.65,26796
112.3625,26967
113.075,27138
113.31666666666666,27196
113.63333333333334,27272
114.12083333333334,27389
114.62916666666666,27511
114.9875,27597
115.275,27666
115.6375,27753
115.80416666666666,27793
116.27916666666667,27907
116.46666666666667,27952
116.74166666666666,28018
117.225,28134
117.425,28182
117.875,28290
118.1875,28365
118.32916666666667,28399
118.77916666666667,28507
118.97083333333333,28553
119.28333333333333,28628
119.77083333333333,28745
119.96666666666667,28792
120.42916666666666,28903
120.7625,28983
120.95833333333333,29030
121.46666666666667,29152
121.98333333333333,29276
122.32916666666667,29359
122.75833333333334,29462
123.22916666666667,29575
123.6125,29667
124.02083333333333,29765
124.47916666666667,29875
124.82916666666667,29959
125.2125,30051
125.7125,30171
126.0125,30243
126.37083333333334,30329
126.86666666666666,30448
127.22083333333333,30533
127.57916666666667,30619
128.025,30726
128.37083333333334,30809
128.74166666666667,30898
129.225,31014
129.57083333333333,31097
130.54166666666666,31330
131.17083333333332,31481
132.09166666666667,31702
133.0125,31923
133.67916666666667,32083
135.14166666666668,32434
135.5375,32529
136.29166666666666,32710
137.4875,32997
138.725,33294
139.925,33582
141.07916666666668,33859
156.24166666666667,37498
157.45833333333334,37790
157.78333333333333,37868
158.27083333333334,37985
159.2375,38217
159.84583333333333,38363
160.18333333333334,38444
160.80416666666667,38593
161.69583333333333,38807
162.39583333333334,38975
162.7,39048
163.20833333333334,39170
164.09583333333333,39383
164.68333333333334,39524
165.23333333333332,39656
165.75833333333333,39782
166.85833333333332,40046
167.92916666666667,40303
170.06666666666666,40816
170.625,40950
172.17083333333332,41321
172.6875,41445
174.27083333333334,41825
174.79166666666666,41950
176.30416666666667,42313
176.825,42438
178.3,42792
179.28333333333333,43028
179.75833333333333,43142
180.725,43374
182.20833333333334,43730
183.1625,43959
183.6875,44085
184.775,44346
186.23333333333332,44696
187.77083333333334,45065
188.90833333333333,45338
189.21666666666667,45412
190.225,45654
191.22916666666666,45895
191.70416666666668,46009
192.8,46272
193.675,46482
194.2375,46617
194.68333333333334,46724
195.1375,46833
195.73333333333332,46976
196.1375,47073
196.7375,47217
197.12083333333334,47309
198.19583333333333,47567
198.64166666666668,47674
199.68333333333334,47924
200.075,48018
200.65416666666667,48157
201.67916666666667,48403
202.21666666666667,48532
203.17083333333332,48761
204.17083333333332,49001
