Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,00:02:14:18,00:03:07:16,au,134.18,187.16,52.23,"[134.699 136.939 139.137 141.314 143.506 145.692 147.851 150.006 152.169
 154.282 156.418 158.531 160.646 162.747 164.868 166.954 169.037 171.12
 173.216 175.321 177.392 179.443 181.494 183.53  185.582]","[2.24  2.198 2.177 2.192 2.186 2.159 2.155 2.163 2.113 2.136 2.113 2.115
 2.101 2.121 2.086 2.083 2.083 2.096 2.105 2.071 2.051 2.051 2.036 2.052]",24,102
Section_2,00:02:56:08,00:03:23:01,au,176.08,203.01,26.18,"[177.392 179.443 181.494 183.53  185.582 187.603 189.602 191.608 193.638
 195.655 197.675 199.688 201.691]",[2.051 2.051 2.036 2.052 2.021 1.999 2.006 2.03  2.017 2.02  2.013 2.003],12,133
Section_3,00:03:17:23,00:03:48:12,au,197.23,228.12,30.14,"[197.675 199.688 201.691 203.692 205.692 207.696 209.699 211.681 213.674
 215.683 217.666 219.682 221.655 223.592 225.563 227.527]","[2.013 2.003 2.001 2.    2.004 2.003 1.982 1.993 2.009 1.983 2.016 1.973
 1.937 1.971 1.964]",15,173
Section_4,00:04:11:16,00:04:47:01,au,251.16,287.01,35.1,"[251.472 253.271 255.054 256.879 258.646 260.422 262.153 263.865 265.584
 267.303 269.038 270.777 272.516 274.249 275.955 277.708 279.435 281.188
 282.967 284.717 286.47 ]","[1.799 1.783 1.825 1.767 1.776 1.731 1.712 1.719 1.719 1.735 1.739 1.739
 1.733 1.706 1.753 1.727 1.753 1.779 1.75  1.753]",20,234
Section_5,00:04:40:16,00:05:30:04,au,280.16,330.04,49.13,"[281.188 282.967 284.717 286.47  288.228 290.001 291.78  293.547 295.31
 297.087 298.835 300.559 302.303 304.028 305.763 307.496 309.223 310.956
 312.704 314.463 316.214 317.971 319.725 321.427 323.183 324.938 326.69
 328.44 ]","[1.779 1.75  1.753 1.758 1.773 1.779 1.767 1.763 1.777 1.748 1.724 1.744
 1.725 1.735 1.733 1.727 1.733 1.748 1.759 1.751 1.757 1.754 1.702 1.756
 1.755 1.752 1.75 ]",27,335
Section_6,00:04:43:03,00:04:58:24,au,283.03,298.24,15.21,[284.717 286.47  288.228 290.001 291.78  293.547 295.31  297.087],[1.753 1.758 1.773 1.779 1.767 1.763 1.777],7,384
Section_7,00:05:26:03,00:05:46:10,au,326.03,346.1,20.06,"[326.69  328.44  330.171 331.85  333.452 335.012 336.503 337.984 339.46
 340.954 342.421 343.856 345.31 ]",[1.75  1.731 1.679 1.602 1.56  1.491 1.481 1.476 1.494 1.467 1.435 1.454],12,418
Section_8,00:05:28:11,00:05:46:06,au,328.11,346.06,17.2,"[328.44  330.171 331.85  333.452 335.012 336.503 337.984 339.46  340.954
 342.421 343.856 345.31 ]",[1.731 1.679 1.602 1.56  1.491 1.481 1.476 1.494 1.467 1.435 1.454],11,448
Section_9,00:06:02:13,00:06:18:22,au,362.13,378.22,16.09,"[362.509 363.931 365.339 366.72  368.099 369.444 370.789 372.125 373.432
 374.751 376.071 377.389]",[1.422 1.408 1.381 1.379 1.345 1.345 1.336 1.307 1.319 1.32  1.318],11,482
Section_10,00:06:02:13,00:06:18:22,au,362.13,378.22,16.09,"[362.509 363.931 365.339 366.72  368.099 369.444 370.789 372.125 373.432
 374.751 376.071 377.389]",[1.422 1.408 1.381 1.379 1.345 1.345 1.336 1.307 1.319 1.32  1.318],11,516
