time_sec,frames
57.1,13704
59.40416666666667,14257
60.295833333333334,14471
61.15416666666667,14677
62.05416666666667,14893
62.9375,15105
63.85,15324
114.175,27402
114.825,27558
115.48333333333333,27716
116.82083333333334,28037
118.075,28338
119.38333333333334,28652
119.72916666666667,28735
120.675,28962
121.0125,29043
121.95416666666667,29269
123.2,29568
124.47916666666667,29875
125.76666666666667,30184
127.02916666666667,30487
128.27083333333334,30785
128.8875,30933
129.52916666666667,31087
130.84166666666667,31402
131.45833333333334,31550
132.06666666666666,31696
132.71666666666667,31852
133.34583333333333,32003
133.96666666666667,32152
134.6125,32307
135.23333333333332,32456
135.8375,32601
136.48333333333332,32756
137.11666666666667,32908
137.725,33054
138.36666666666667,33208
138.97083333333333,33353
140.90833333333333,33818
141.24166666666667,33898
141.82916666666668,34039
142.7625,34263
143.725,34494
144.33333333333334,34640
145.25416666666666,34861
145.85833333333332,35006
146.1875,35085
146.87083333333334,35249
215.66666666666666,51760
238.79583333333332,57311
242.25833333333333,58142
242.91666666666666,58300
243.4875,58437
244.05,58572
244.64166666666668,58714
245.20833333333334,58850
245.79166666666666,58990
246.35,59124
246.94166666666666,59266
247.51666666666668,59404
248.09166666666667,59542
248.66666666666666,59680
249.23333333333332,59816
249.79583333333332,59951
250.3875,60093
250.9625,60231
251.5375,60369
252.10833333333332,60506
252.68333333333334,60644
253.25,60780
253.6375,60873
254.42083333333332,61061
254.7625,61143
255.62916666666666,61351
256.21666666666664,61492
256.77916666666664,61627
257.3375,61761
257.87083333333334,61889
258.4625,62031
258.9875,62157
259.6125,62307
260.7291666666667,62575
261.8375,62841
262.4375,62985
263.0125,63123
264.1375,63393
264.6875,63525
265.2375,63657
265.875,63810
266.31666666666666,63916
267.3625,64167
268.2583333333333,64382
271.0416666666667,65050
328.9875,78957
330.1,79224
331.2291666666667,79495
332.3625,79767
333.50416666666666,80041
334.6166666666667,80308
335.8125,80595
336.95,80868
338.1166666666667,81148
340.7291666666667,81775
341.5,81960
342.73333333333335,82256
343.05,82332
345.0541666666667,82813
345.3208333333333,82877
347.5375,83409
347.775,83466
349.5708333333333,83897
349.8333333333333,83960
351.7291666666667,84415
352.0,84480
354.49583333333334,85079
356.175,85482
357.3625,85767
359.0,86160
360.9,86616
362.5125,87003
367.0875,88101
402.0416666666667,96490
403.0541666666667,96733
404.6458333333333,97115
417.6375,100233
420.5625,100935
422.09583333333336,101303
423.2125,101571
425.3208333333333,102077
426.3541666666667,102325
427.43333333333334,102584
427.90416666666664,102697
428.99583333333334,102959
430.5416666666667,103330
432.02916666666664,103687
433.05,103932
434.84583333333336,104363
442.275,106146
443.57916666666665,106459
455.3333333333333,109280
455.8875,109413
457.45416666666665,109789
461.62916666666666,110791
462.8041666666667,111073
465.1875,111645
466.2083333333333,111890
470.4916666666667,112918
472.62916666666666,113431
473.7291666666667,113695
474.4791666666667,113875
474.7375,113937
475.4916666666667,114118
475.77916666666664,114187
476.775,114426
477.5833333333333,114620
477.87083333333334,114689
478.93333333333334,114944
479.7,115128
479.975,115194
481.05,115452
481.84583333333336,115643
482.1375,115713
483.15,115956
484.2291666666667,116215
488.76666666666665,117304
490.5875,117741
